id,name,batch,status,is_ai,is_robotics,xi,chi
27201,Lavo Life Sciences,Winter 2023,Inactive,1,0,1.0553190728525195,0.4011707004688394
27206,Delfino AI,Summer 2022,Active,1,0,5.68728838386398,0.19309853721186335
27221,CAPSULE,Summer 2022,Inactive,1,0,4.405634594527492,0.09255804124088551
27224,InVision Medical Technology,Summer 2022,Active,1,0,1.2439711789694887,0.3742709464032873
27248,Cambio,Summer 2022,Active,1,0,1.9837510880551432,0.06144506271678541
27250,Axle,Summer 2022,Active,1,0,3.5212425447306703,0.21980698038029775
27252,Landeed,Summer 2022,Active,1,0,1.6812542029466404,0.11086955184606694
27254,Chima,Winter 2023,Active,1,0,2.0215887303310502,0.09311836786138637
27255,Intuned,Summer 2022,Active,1,1,2.9757000915561957,0.22581822652236588
27260,Coverage Cat,Summer 2022,Active,1,0,6.124808014547623,0.12354671914578258
27261,Integrated Reasoning,Summer 2022,Active,1,0,2.2058534460597206,0.1586724072338422
27264,Dev Tools AI,Summer 2022,Inactive,1,0,2.387611467665677,0.14443802022982863
27361,Polymath Robotics,Summer 2022,Active,1,1,2.782083118232584,0.22334359464584413
27491,Sameday,Winter 2023,Active,1,0,3.7525358037744128,0.25350669503253886
27492,zudo.work,Winter 2023,Active,1,0,3.5220981490728547,0.11421409939124495
27583,Rubbrband,Winter 2023,Active,1,0,4.5965455574478415,0.2056452875366686
27666,Middleware,Winter 2023,Active,1,0,2.2477892489175852,0.18774713201276758
27667,StackAI,Winter 2023,Acquired,1,0,3.958345614037671,0.08091626497162335
27668,Designbase,Winter 2023,Active,1,0,2.1738240112852654,0.08315511178905408
27672,Blyss,Winter 2023,Inactive,1,0,0.35136080208017695,0.13423323650240562
27673,Reflex,Winter 2023,Active,1,0,0.9626619983520494,0.07078626513244794
27675,Linum,Winter 2023,Active,1,0,3.236047596715501,0.04852981085964435
27676,Cardinal,Winter 2023,Acquired,1,0,0.039325845864630164,0.17027712423764924
27678,Traceloop,Winter 2023,Acquired,1,0,1.107728301918028,0.18752957994343494
27680,Trigger.dev,Winter 2023,Active,1,0,4.382075222051037,0.045292584374569525
27685,Syncly,Winter 2023,Active,1,0,0.15775878990094272,0.15123976203737283
27687,Layup,Winter 2023,Inactive,1,0,5.051802277697315,0.2831254530296614
27690,Credal.ai,Winter 2023,Active,1,0,0.31756450103653755,0.11635296577065411
27692,Rollstack,Winter 2023,Active,1,0,4.8281806221344405,0.11804934898372631
27694,Paperplane,Winter 2023,Inactive,1,0,1.7851787490818303,0.11700375542608228
27696,Novelcare,Winter 2023,Active,1,0,0.3315810401129455,0.4938038762556046
27697,Lume,Winter 2023,Acquired,1,0,3.315378927555576,0.0443747417256283
27699,Concourse,Winter 2023,Active,1,0,6.253149179418141,0.12730477856888006
27700,Latent,Winter 2023,Active,1,0,0.4893165986985378,0.16138451739883744
27701,Backdrop,Winter 2023,Active,1,0,5.72057478005601,0.11806632925276533
27702,Mulligan,Winter 2023,Active,1,0,3.709423281872869,0.11031020085068319
27705,Indexical,Winter 2023,Inactive,1,0,2.536085571525356,0.26304639320031203
27712,Brewit,Winter 2023,Acquired,1,0,0.617929960342704,0.1716597374475782
27713,Lynx,Winter 2023,Inactive,1,0,1.7406601863508837,0.24421427805555024
27714,Palomma,Winter 2023,Active,1,0,5.4707823518950045,0.16053461443447697
27725,Parabolic,Winter 2023,Inactive,1,0,5.2738377484928325,0.19660367619623903
27734,Rubber Ducky Labs,Winter 2023,Inactive,1,0,2.3320432560246322,0.18826122851698443
27754,Pair AI,Winter 2023,Active,1,0,5.620646234476492,0.30141039953254756
27762,Ohm,Winter 2023,Active,1,0,1.992572735158541,0.4751427486473637
27763,Double – Coding Copilot,Winter 2023,Active,1,0,0.9952251171072577,0.04937936967378037
27766,Glass Health,Winter 2023,Active,1,0,0.44104727425019774,0.3522667569065275
27774,Versive,Winter 2023,Active,1,0,0.9775326304837284,0.2984745254663627
27808,Salient,Winter 2023,Active,1,0,4.196937682741622,0.1678654378436127
27812,Dataglade,Winter 2023,Active,1,0,1.4627980770369493,0.2727880052150588
27814,Narrative,Winter 2023,Active,1,0,1.732752457792734,0.24424174150588485
27815,OfOne,Winter 2023,Acquired,1,0,4.719439951167205,0.28868285086997053
27816,OpenSight,Winter 2023,Inactive,1,0,5.457800576530219,0.1722063526247512
27817,loopfour,Winter 2023,Active,1,0,2.7162573362910525,0.09468998344003572
27818,Gluetrail,Winter 2023,Active,1,0,3.935102945132385,0.09170364936372452
27820,infra.new,Winter 2023,Active,1,0,1.6329815891003383,0.18114678649693938
27821,PoplarML,Winter 2023,Active,1,0,4.365273047296657,0.10630044530595183
27825,CreatorML,Winter 2023,Inactive,1,0,0.4584098755687034,0.1576912497866828
27828,Scanbase,Winter 2023,Active,1,0,1.3344036439482156,0.38269316065589093
27831,Neptyne,Winter 2023,Inactive,1,0,1.3096009995996818,0.07015507096176384
27834,Bluebirds,Winter 2023,Acquired,1,0,4.267137194581865,0.048790036803355204
27836,LinkGrep,Winter 2023,Active,1,0,0.2509087402146668,0.11868726756769118
27839,Cosine,Winter 2023,Active,1,0,4.87567144182159,0.24824622152025827
27843,Gooseworks,Winter 2023,Active,1,0,5.330143906347563,0.04665015711219138
27852,Frigade,Winter 2023,Active,1,0,4.70228941031024,0.13570832960375442
27855,Haven,Winter 2023,Active,1,0,4.472511904027811,0.12806270387694918
27859,No Cap,Winter 2023,Acquired,1,0,0.05716637588231389,0.20116279369441412
27860,Dream3D,Winter 2023,Active,1,0,1.2801752833276367,0.14481452191979918
27867,DataSuite,Winter 2023,Active,1,0,0.080032621008647,0.07249537456272606
27868,Outerbase,Winter 2023,Acquired,1,0,5.1859702189570225,0.16465011024762086
27869,co.dev,Winter 2023,Active,1,0,3.6181612065708872,0.05647995502584878
27870,Langfuse,Winter 2023,Acquired,1,0,1.0770034452959145,0.16150525317692108
27871,Extend,Winter 2023,Active,1,0,2.610524374903986,0.1824612659085524
27873,Floworks,Winter 2023,Active,1,0,4.715038324906201,0.05927265716133238
27875,Iliad,Winter 2023,Active,1,0,2.292023926476367,0.1411237038629506
27881,Inkeep,Winter 2023,Active,1,0,5.556997444104864,0.15713856091457754
27882,Velos,Winter 2023,Active,1,1,3.718212366777549,0.2899960822509537
27883,EzDubs,Winter 2023,Acquired,1,0,4.811822573801212,0.12985921701233558
27890,Wild Moose,Winter 2023,Active,1,0,1.8815448157364931,0.2500026148345307
27892,ShortLoop,Winter 2023,Active,1,0,4.739976251366591,0.22773629394484568
27894,Booth AI,Winter 2023,Acquired,1,0,3.6824540705086886,0.11519550588184789
27896,Truewind,Winter 2023,Active,1,0,1.5468936846107737,0.006559464310408441
27897,TableFlow,Winter 2023,Active,1,0,3.817669128388127,0.09907770792294003
27901,Orchid,Winter 2023,Active,1,0,0.1036657058576443,0.24805590419211423
27902,KV Cash,Winter 2023,Active,1,0,0.2785414687083775,0.10943176469852268
27906,1stCollab,Winter 2023,Active,1,0,0.21087298097894097,0.1463943397381559
27909,Magicflow 𐂂,Winter 2023,Inactive,1,0,1.394730643772333,0.15545745080506498
27919,Helicone,Winter 2023,Acquired,1,0,1.2144453855938149,0.2653818373202065
27923,Ariglad,Winter 2023,Active,1,0,5.554206949668611,0.09256989583236991
27925,222,Winter 2023,Active,1,0,5.487467274158501,0.2916052357354364
27926,Variance,Winter 2023,Active,1,0,1.0604260099175968,0.2479268331819713
27927,Fintool,Winter 2023,Acquired,1,0,1.8567293474153552,0.09995181952563485
