OCC_CODE,proj,bundle,value,strip,cong,reinst,dlnw
15-2031,-0.09235463890831333,-40.80721319992101,-1.8294273507738164,-1.8799510164057072,-0.04074824654283127,0.09127191217472208,0.04741132101053536
15-2041,-0.18714018970471022,-43.89739000784365,-2.1074427880521647,-1.9337112992432823,-0.2461121746829904,0.07238068587410806,0.1473809703824358
15-2041,-0.1101485390120751,-46.76060437698873,-2.243536676671171,-2.362781832861751,-0.026062636067630374,0.14530779225821067,0.1473809703824358
17-1011,-0.11802498049218407,-31.026575695146093,-1.3780081564104352,-1.1882223299358743,-0.26966238358836714,0.07987655711380626,0.20662455327694085
17-1012,-0.04170396125432628,-36.80690598071091,-1.9510738130386183,-1.7268336145907537,-0.3374894242917481,0.11324922584388353,0.14099968723204803
17-1021,-0.1057391613272189,-24.88282019213284,-1.4296880350640722,-0.8742705188876805,-0.5960832825092197,0.040665766332828035,0.2178547251460059
17-1022,-0.11097033831744374,-28.708078555895742,-1.2940941325696742,-0.8320330237637084,-0.5076529020937919,0.04559179328782603,0.17359219229464795
17-1022,-0.06617310865091902,-29.42079666108333,-1.4330148133514928,-0.9946358609445083,-0.4813679663558985,0.04298901394891397,0.17359219229464795
17-2011,0.05669029132079809,-37.410297657217626,-1.422912784084215,-0.9207405120395586,-0.5562694183076089,0.05409714626295248,0.14716328241133692
17-2021,-0.14250050173775614,-28.589740809243786,-2.126687254668721,-0.40746025240299577,-1.7756189583634137,0.05639195609768821,0.19994428332021608
17-2031,-0.03495169201679823,-41.647342843468536,-1.8956095252755918,-1.6584181474078115,-0.35870404362916286,0.12151266576138253,0.17928319517054936
17-2041,-0.05427195692868132,-20.73145189960616,-1.5212436860560028,-0.43450008783681593,-1.1338432032765753,0.047099605057388416,0.13934619381389624
17-2051,-0.07078937642246627,-33.283606816981376,-0.9849203188773177,-1.0431039583708466,-0.019057441325494917,0.07724108081902381,0.14682062474320556
17-2051,-0.04730760416194943,-33.43730208956018,-1.131197227154686,-1.0888376464749308,-0.10747227943677329,0.06511269875701808,0.14682062474320556
17-2051,-0.08715156466263196,-36.80245238546903,-1.2287014150653306,-1.3250455078030519,0.012890029460877361,0.0834540632768439,0.14682062474320556
17-2061,-0.08439115890459954,-25.86375265687138,-1.06201938436267,-0.7250627782156629,-0.3896373716555148,0.052680765508507754,0.3218674731217037
17-2071,-0.04903788321886977,-27.34491977919149,-0.9239370307060608,-0.7666638100455065,-0.20253454406079285,0.045261323400238584,0.20245389361075894
17-2072,-0.04579241470710773,-28.226430790402308,-1.2049416383327363,-0.7740777754224237,-0.48754169665870606,0.056677833748393525,0.20965663525986544
17-2072,-0.12089175151556031,-28.560580778759565,-1.3242474702301785,-1.0384566833597266,-0.34488231085199494,0.05909152398154305,0.20965663525986544
17-2081,-0.10232074883137271,-40.961859841399864,-2.0511298990102795,-1.7028641608131831,-0.43351069381514984,0.08524495561805345,0.18691461301775103
17-2111,-0.04653968619102906,-40.22486036519766,-1.943919140851337,-1.791913021907749,-0.26365890267516323,0.11165278373157528,0.23080468717822855
17-2112,-0.12822506885681892,-21.773781906082384,-0.7696564449013183,-0.6835349433799567,-0.11990175674760373,0.03378025522624206,0.15164958006805396
17-2112,-0.0820303362760337,-40.32625435823419,-1.4368447429406426,-1.474970330075358,-0.040790737282844436,0.07891632441755991,0.15164958006805396
17-2112,-0.050161641681821155,-37.258966801935856,-1.0826021165463295,-1.067843587337137,-0.051221787968289245,0.03646325875909673,0.15164958006805396
17-2112,-0.06510779738624722,-19.6415797327204,-0.6691426703787129,-0.5322357445693635,-0.18058146610574255,0.04367454029639317,0.15164958006805396
17-2121,-0.10526431895357885,-21.127568875232505,-1.577339932777511,-0.5410413068177888,-1.0800880127087127,0.043789386748990466,0.19455321287327365
17-2131,-0.09776577168117323,-28.535170858258,-1.37998228942595,-0.9707326127090896,-0.46946465207403376,0.06021497535717346,0.18979504601634467
17-2141,-0.037462377631303764,-20.57830990567829,-0.8775991661276761,-0.49028413644419544,-0.4288054846551841,0.04149045497170345,0.16328316339053073
17-2141,-0.04461034622661357,-29.16799874086891,-0.9164191209034818,-0.8259734439832895,-0.14075532553195025,0.05030964861175802,0.16328316339053073
17-2141,-0.0472167982977514,-33.48648235138547,-1.091429849244903,-1.007257422856152,-0.1494147424718073,0.0652423160830562,0.16328316339053073
17-2151,-0.08112823660613916,-30.47781541524079,-1.4120722913309223,-0.9977221991324621,-0.49431102376180913,0.07996093156334894,0.1528787262288347
17-2161,-0.14137893053672723,-37.431512620900016,-2.109949225591511,-1.4570125621198837,-0.7348979005616547,0.08196123709002734,0.16615118827971953
17-2171,-0.10936731625444851,-25.429021730100455,-1.5338049929357322,-0.5962222279481448,-0.9787997909926847,0.041217026005097246,0.05093830010527256
17-2199,-0.024005113546290858,-39.31966714029465,-1.4270467749772773,-1.260051933327457,-0.2351348050527804,0.06813996340296002,0.21597808335333601
17-2199,-0.06109115971949315,-17.531811694580753,-0.9309820707352476,-0.4396964370907188,-0.5287089246967316,0.03742329105220277,0.21597808335333601
17-2199,-0.050829483589569485,-27.44756166910777,-1.1075181492266442,-0.7251388233116693,-0.4296409029921837,0.047261577077208905,0.21597808335333601
17-2199,-0.10971422678606768,-29.86421766917263,-1.2637321235019923,-1.0520320606582243,-0.2790942636038043,0.06739420076003633,0.21597808335333601
17-2199,-0.10381756237262263,-14.246145643352108,-0.7280203192446817,-0.388737791336248,-0.3810215739790519,0.04173904607061818,0.21597808335333601
17-2199,-0.030462071910254573,-34.11976518950051,-1.3660764908781617,-1.2164463278203583,-0.2547242799696656,0.10509411691186221,0.21597808335333601
17-2199,-0.02860244517574302,-17.34899863684952,-0.9043888486426681,-0.41163085985728687,-0.5235842098405543,0.030826221055173075,0.21597808335333601
17-2199,-0.06229580582964294,-32.146826208013536,-1.3117356651909176,-1.0714657439367552,-0.2964521247348979,0.05618220348073555,0.21597808335333601
17-3012,-0.09356318860584642,-11.519445531248481,-1.0614207332035672,-0.3245239815680159,-0.7631975848564716,0.02630083322092025,0.22273778949083
17-3013,-0.06479306566633469,-8.745670179269931,-0.9294495596153705,-0.23522641418748957,-0.718721940100894,0.02449879467301308,0.22641925942984065
17-3021,-0.04951070364390865,-12.252679572724634,-1.4302383418676539,-0.16495797491374464,-1.2937760138377712,0.02849564688386197,0.22754469013796097
17-3022,-0.09752887970154239,-28.216189515931294,-1.2504509291638661,-0.7870696338750252,-0.49070433233538635,0.027323037046545373,0.19566669247322643
17-3024,-0.05803127400014984,-7.7014720559853025,-1.3874867370769048,-0.14205319005725858,-1.2690630087895167,0.023629461769870463,0.2363887780642302
17-3024,-0.02549701002919326,-3.355088125797993,-0.8643745622876677,-0.08186413643530432,-0.8110544897817138,0.028544063929350383,0.2363887780642302
17-3025,-0.19317384694914003,-29.5516414496933,-1.6467131519673708,-1.026845359417241,-0.674792586024612,0.054924793474482314,0.1686014615370559
17-3026,-0.07105002477766426,-11.697724896626882,-0.7521823861297023,-0.3145835523631231,-0.47300038964765223,0.035401555881072966,0.1563025162783318
17-3026,-0.1227553038753097,-21.23368680099507,-1.1119233216137885,-0.5381693641986063,-0.6130624349700251,0.0393084775548429,0.1563025162783318
17-3027,-0.06796818882896578,-11.09306463637024,-1.3131627481896682,-0.3711973729772815,-0.9696283393538065,0.027662964141419888,0.2679633832385413
17-3027,-0.07544751109324327,-15.171667236739502,-1.2412670831590966,-0.38910894779394223,-0.8766968245361744,0.02453868917101998,0.2679633832385413
19-1011,-0.057654588394507864,-41.70964850300746,-2.3011183841213625,-2.081397955643686,-0.39808278472002256,0.1783623562423462,0.1337900690648528
19-1012,-0.09670914087673131,-37.114337083873586,-1.8600846906362298,-1.5252149936434218,-0.4248353563041858,0.08996565931137779,0.25168294367059385
19-1013,-0.042591152752502935,-45.62335202804404,-2.1377203764863726,-1.90532653889302,-0.3637937806857663,0.13139994309241398,0.2211013225995413
19-1021,-0.08416878076601311,-38.15022569655421,-1.8739997166336928,-1.3647391714313115,-0.6213496056355132,0.11208906043313194,0.29895442163331687
