code,dL,strip_adj,cong_adj,reinst_adj,total_adj
13-1011.00,7.539437195447444e-06,-0.2930451514095993,0.048298752936831946,0.02988850595255199,-0.21485789252021537
13-1031.00,-0.0008252997079476337,-1.32556000631866,0.23165072037694867,0.05249264796023878,-1.0414166379814724
13-1032.00,3.5134392237710335e-06,-0.16420001137443618,-0.013489754840714685,0.01718791842462064,-0.16050184779053023
13-1041.01,-0.0011326996249743128,-1.571889505811357,0.31070732082869057,0.081644026292365,-1.1795381586903013
13-1041.03,-0.0009079708597492845,-1.369746378667054,0.1728331216364578,0.08116620433825572,-1.1157470526923405
13-1041.04,-0.00092362725494682,-1.2428816502137199,0.2604667027271823,0.059367082141607685,-0.9230478653449299
13-1041.06,-0.0003686635410510887,-0.6500187623852018,0.08013967649192644,0.039065647033714956,-0.5308134388595604
13-1041.07,-0.001531679908272703,-2.295804263040462,0.404545680834838,0.12043505573735969,-1.770823526468264
13-1041.08,0.00041525236376779937,-0.21593027026532052,-0.05736467026375047,0.0448484094593149,-0.2284465310697561
13-1051.00,-0.0006054224771422693,-1.2788128021568936,0.25495726806760466,0.05248606961098323,-0.9713694644783057
13-1071.00,-0.0005456886875738632,-0.7785249282876334,0.058809199215764885,0.059070933832945816,-0.6606447952389227
13-1074.00,6.230369496840074e-07,-0.07684991306028399,-0.1058688791613811,0.03562549521697056,-0.14709329700469453
13-1075.00,-0.00014981831919645542,-1.1447189433193845,0.1356929574856287,0.06061939599942523,-0.9484065898343306
13-1081.00,-0.0005752128002146067,-1.2039955343725892,0.1706477943044602,0.0736018727101766,-0.9597458673579524
13-1081.01,-0.0007586039571072724,-1.2113116227697693,0.35247070992553775,0.06296816517903636,-0.7958727476651952
13-1081.02,-0.0004869144204358017,-0.9035055740715712,0.15078923602592242,0.042524790208673835,-0.7101915478369749
13-1111.00,-0.0022251115008785592,-1.9178492341979878,0.3113267413048495,0.15826764681639505,-1.4482548460767433
13-1121.00,-9.375763343166734e-05,-0.6188285636472743,0.0174940011629654,0.048781649000008365,-0.5525529134843006
13-1131.00,-6.984933627674189e-05,-0.5539832860335467,0.06295742313043595,0.042125603706148596,-0.4489002591969622
13-1141.00,-0.00025339433641158966,-1.2446373350051658,0.17236589139386727,0.062908829337188,-1.0093626142741106
13-1151.00,-0.0004903226734727876,-0.8701461662009597,0.11665651553739798,0.07503535341125067,-0.6784542972523111
13-1161.00,-0.0023196974950778337,-2.0826475549631147,0.2624565045704078,0.16309868287765372,-1.657092367515053
13-1161.01,-0.0018717647809823297,-1.4083963491212745,0.16615771232586884,0.09173324101452685,-1.1505053957808788
13-1199.04,-0.0033841469386331874,-2.218636505560201,0.3484322347244284,0.20287167528354555,-1.6673325955522271
13-1199.05,-0.003836875456992608,-2.5767616080745555,0.428199507014859,0.15797540048512348,-1.990586700574573
13-1199.06,0.00078081000630677,-0.377737284833767,-0.03663778674868512,0.056381942740441726,-0.3579931288420104
13-1199.07,-0.0028017803742092073,-1.4716588924666627,0.2630449176323406,0.10313520582906066,-1.1054787690052614
13-2031.00,-0.0001512759459169738,-1.4167821489845338,0.21988774855418147,0.05383892882872798,-1.1430554716016244
13-2041.00,-0.0002594600350687516,-1.5861427431626218,0.20765618190969715,0.05303435518789845,-1.3254522060650262
13-2052.00,-0.0006019929887509958,-0.9924087813885452,0.10890432147795481,0.05366288749495052,-0.8298415724156398
13-2053.00,-0.00035630748979522986,-1.8011650258357217,0.30420163239385345,0.059046398221550334,-1.437916995220318
13-2061.00,-0.00027444056993409605,-2.1590867460909764,0.4587274220750297,0.08710095292431985,-1.6132583710916268
13-2071.00,5.4498160288011805e-06,-0.3308583880922362,0.08066944699833556,0.023691817368840073,-0.2264971237250606
13-2072.00,-0.00023414457167263668,-0.7508192033968264,0.04548191450736905,0.05362665070712014,-0.6517106381823372
13-2081.00,-4.6725967507306676e-05,-0.6680849919128042,0.06124209324143193,0.037905601483107176,-0.5689372971882651
13-2082.00,6.039183510578956e-05,-0.25279518715352234,-0.015135091018306124,0.02914271160186832,-0.23878756656996014
13-2099.01,-0.0005623509428623089,-2.1297021272528913,0.594566555675375,0.06885252579081502,-1.4662830457867013
13-2099.04,-0.0004532640795953377,-1.8368048122694078,0.29843272182483704,0.06915567265830735,-1.4692164177862634
15-1211.00,-0.001331838883551797,-1.3778858557680969,0.28816797611231504,0.09396573061477875,-0.9957521490410031
15-1211.01,-0.0018650680947758366,-1.8008020791348405,0.4745097368805582,0.10308848037500162,-1.2232038618792807
15-1212.00,-0.00044198474907337817,-1.5260226727759274,0.3009167294127699,0.07769780392704506,-1.1474081394361124
15-1221.00,-0.00011802398982351856,-1.3374758149659423,0.2190250308151902,0.10622089925877987,-1.0122298848919722
15-1231.00,-0.00023863462158799597,-0.5282703803739603,0.11625781423244419,0.02580534926507072,-0.38620721687644544
15-1232.00,-0.0006207875273879092,-0.8104220996582421,0.07823491106017366,0.06658767541883792,-0.6655995131792305
15-1241.00,-0.0005894143570936243,-1.1530456966869855,0.3692594665872213,0.04581231183870793,-0.7379739182610563
