t,A_K,U_tot_theta1,U_tot_theta3,U_tot_theta8,U_tot_theta15
2.120000000000000284e+01,6.031868351643789872e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.140000000000000213e+01,6.031868351999553068e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.160000000000000142e+01,6.031868352280751466e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.180000000000000071e+01,6.031868352503015895e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.200000000000000000e+01,6.031868352678694256e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.220000000000000284e+01,6.031868352817555401e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.240000000000000213e+01,6.031868352927312049e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.260000000000000142e+01,6.031868353014063766e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.280000000000000071e+01,6.031868353082634471e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.300000000000000000e+01,6.031868353136833338e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.320000000000000284e+01,6.031868353179673514e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.340000000000000213e+01,6.031868353213533096e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.360000000000000142e+01,6.031868353240297242e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.380000000000000071e+01,6.031868353261452542e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.400000000000000000e+01,6.031868353278174721e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.420000000000000284e+01,6.031868353291390816e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.440000000000000213e+01,6.031868353301836905e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.460000000000000142e+01,6.031868353310093633e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.480000000000000071e+01,6.031868353316619524e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.500000000000000000e+01,6.031868353321778731e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.520000000000000284e+01,6.031868353325856580e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.540000000000000213e+01,6.031868353329078447e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.560000000000000142e+01,6.031868353331626409e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.580000000000000071e+01,6.031868353333640353e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.600000000000000000e+01,6.031868353335231303e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.620000000000000284e+01,6.031868353336489186e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.640000000000000213e+01,6.031868353337482835e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.660000000000000142e+01,6.031868353338268873e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.680000000000000071e+01,6.031868353338890598e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.700000000000000000e+01,6.031868353339381317e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.720000000000000284e+01,6.031868353339768785e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.740000000000000213e+01,6.031868353340076316e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.760000000000000142e+01,6.031868353340318345e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.780000000000000071e+01,6.031868353340510414e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.800000000000000000e+01,6.031868353340661404e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.820000000000000284e+01,6.031868353340781308e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.840000000000000213e+01,6.031868353340876787e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.860000000000000142e+01,6.031868353340950062e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.880000000000000071e+01,6.031868353341011124e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.900000000000000000e+01,6.031868353341056643e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.920000000000000284e+01,6.031868353341094391e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.940000000000000213e+01,6.031868353341123257e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
2.960000000000000142e+01,6.031868353341146571e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
