onet_code,rle_mean
39-9031.00,4.1426
39-9032.00,4.7645
39-9041.00,4.955
41-1011.00,2.6519999999999997
41-1012.00,5.193600000000001
41-2011.00,1.9017000000000002
41-2012.00,2.0591
41-2021.00,3.3548
41-2022.00,3.3786378637863788
41-2031.00,2.3094690530946904
41-3011.00,4.462146214621462
41-3021.00,4.7291
41-3031.00,4.90258051610322
41-3041.00,3.9288071192880705
41-4011.00,4.433256674332567
41-4011.07,4.975904819036193
41-4012.00,3.757824217578243
41-9011.00,1.6890689068906888
41-9012.00,2.0305000000000004
41-9021.00,5.2126
41-9022.00,2.9521952195219523
41-9031.00,6.268273172682733
41-9041.00,2.6527000000000003
41-9091.00,1.4347999999999999
43-1011.00,4.584
43-2011.00,2.2554
43-2021.00,2.0627
43-3011.00,3.3798000000000004
43-3021.00,3.5515
43-3031.00,3.3738
43-3041.00,2.3173999999999997
43-3051.00,4.3984000000000005
43-3061.00,3.7125
43-3071.00,2.6844
43-4011.00,4.3088999999999995
43-4021.00,3.6546999999999996
43-4031.00,3.4577999999999998
43-4051.00,3.325967403259674
43-4061.00,4.494249424942494
43-4071.00,3.9468999999999994
43-4081.00,2.5990400959904014
43-4111.00,3.3435656434356567
43-4121.00,2.85028502850285
43-4131.00,3.8539146085391467
43-4141.00,3.0408
43-4151.00,2.7388999999999997
43-4161.00,4.502149785021498
43-4171.00,2.8289999999999997
43-4181.00,2.244975502449755
43-5011.00,4.3187999999999995
43-5011.01,5.1039
43-5021.00,2.4525
43-5031.00,2.824099999999999
43-5032.00,3.0502050205020503
43-5041.00,2.7088
43-5051.00,2.348
43-5052.00,1.9986999999999997
43-5053.00,1.998000199980002
43-5061.00,2.718828117188281
43-5071.00,2.831316868313168
43-5111.00,2.3804999999999996
43-6011.00,4.489000000000001
43-6012.00,4.132
43-6013.00,2.948294829482948
43-6014.00,3.38013801380138
43-9021.00,2.9377999999999997
43-9022.00,2.9787999999999997
43-9031.00,3.9508000000000005
43-9041.00,3.155615561556155
43-9051.00,1.7311999999999999
43-9061.00,3.4468999999999994
43-9071.00,2.9618
43-9081.00,4.891489148914891
43-9111.00,6.165616561656166
45-1011.00,3.7197999999999998
45-2011.00,3.102899999999999
45-2021.00,2.3153
45-2041.00,1.5543
45-2091.00,1.771077107710771
45-2092.00,3.00979902009799
45-2093.00,2.9699
45-3031.00,2.1
45-4011.00,4.2844999999999995
45-4021.00,1.4418
45-4022.00,1.4546999999999999
45-4023.00,2.2897000000000007
47-1011.00,2.9837983798379843
47-1011.03,2.573357335733574
47-2011.00,2.6393360663933607
