soc2018,year,wage_hourly,wage_source,tot_emp,n_soc2000,one_to_one
27-3042,1999,21.319999999999997,H_MEDIAN,46680.0,1,True
27-3043,1999,19.62,H_MEDIAN,45670.0,1,True
27-3091,1999,12.94,H_MEDIAN,13640.0,1,True
27-3092,1999,17.78,H_MEDIAN,17460.0,1,True
27-4011,1999,13.509999999999996,H_MEDIAN,39090.0,1,True
27-4012,1999,11.330000000000002,H_MEDIAN,25570.0,1,True
27-4014,1999,13.98,H_MEDIAN,9380.0,1,True
27-4021,1999,10.009999999999998,H_MEDIAN,66070.0,1,True
27-4031,1999,11.939999999999998,H_MEDIAN,17330.0,1,True
27-4032,1999,18.840000000000003,H_MEDIAN,12770.0,1,True
29-1011,1999,27.920000000000016,H_MEDIAN,11540.0,1,True
29-1031,1999,17.540000000000003,H_MEDIAN,41320.0,1,True
29-1041,1999,37.1,H_MEDIAN,21400.0,1,True
29-1051,1999,32.16,H_MEDIAN,226300.0,1,True
29-1071,1999,25.539999999999992,H_MEDIAN,56750.0,1,True
29-1081,1999,51.0,H_MEDIAN,4470.0,1,True
29-1122,1999,23.729999999999997,H_MEDIAN,78950.0,1,True
29-1123,1999,27.07999999999999,H_MEDIAN,131050.0,1,True
29-1124,1999,20.04,H_MEDIAN,12340.0,1,True
29-1125,1999,13.470000000000002,H_MEDIAN,30190.0,1,True
29-1126,1999,17.379999999999995,H_MEDIAN,80230.0,1,True
29-1127,1999,22.029999999999994,H_MEDIAN,85920.0,1,True
29-1131,1999,28.189999999999998,H_MEDIAN,39250.0,1,True
29-1141,1999,20.33,H_MEDIAN,2205430.0,1,False
29-1151,1999,20.33,H_MEDIAN,2205430.0,1,False
29-1161,1999,20.33,H_MEDIAN,2205430.0,1,False
29-1171,1999,20.33,H_MEDIAN,2205430.0,1,False
29-1181,1999,20.51,H_MEDIAN,12950.0,1,True
29-1211,1999,59.51000000000001,H_MEAN,25910.0,1,True
29-1215,1999,54.340000000000025,H_MEDIAN,134490.0,1,True
29-1216,1999,59.26999999999999,H_MEAN,48740.0,1,True
29-1218,1999,65.11000000000001,H_MEAN,18780.0,1,True
29-1221,1999,58.650000000000006,H_MEDIAN,18940.0,1,True
29-1223,1999,55.69,H_MEDIAN,17870.0,1,True
29-1242,1999,65.22000000000001,H_MEAN,48450.0,1,False
29-1243,1999,65.22000000000001,H_MEAN,48450.0,1,False
29-1249,1999,65.22000000000001,H_MEAN,48450.0,1,False
29-1292,1999,22.69,H_MEDIAN,90050.0,1,True
29-2011,1999,18.519999999999996,H_MEDIAN,145750.0,1,True
29-2012,1999,12.89,H_MEDIAN,142090.0,1,True
29-2031,1999,15.46,H_MEDIAN,41490.0,1,True
29-2032,1999,20.349999999999994,H_MEDIAN,29280.0,1,True
