onet_code,S1,S2,A1,A2
13-1081.00,3.4025925925925926,0.49875,3.6765,0.675625
13-1081.01,3.6885185185185185,1.28,3.9189999999999996,0.7418750000000001
13-1081.02,3.162962962962963,0.59375,3.6454999999999997,0.73
13-1111.00,3.3840740740740745,0.35875,3.687,0.5584375
13-1121.00,3.1159259259259255,0.99875,3.4814999999999996,1.378125
13-1131.00,3.102222222222222,0.26375,3.4425,0.550625
13-1141.00,3.051111111111111,0.125,3.4055,0.561875
13-1151.00,3.3699999999999997,0.29500000000000004,3.5115000000000003,0.6640625
13-1161.00,3.1803703703703707,0.2825,3.7700000000000005,0.6403125000000001
13-1161.01,3.1614814814814816,0.45375,3.495,0.561875
13-1199.04,3.43,0.59375,3.789,0.6409374999999999
13-1199.05,3.021851851851852,0.67,3.393,0.63625
13-1199.06,2.8003703703703704,0.49875,3.169,0.6018749999999999
13-1199.07,3.274074074074074,1.65625,3.588,1.5028125
13-2022.00,2.578148148148148,0.65625,3.35,1.2421875
13-2023.00,2.487407407407407,0.75,3.1435,1.1796875
13-2031.00,2.9214814814814813,0.14125,3.3880000000000003,0.6240625
13-2041.00,2.718518518518519,0.25,3.5675,0.6053125
13-2052.00,3.037037037037037,0.1875,3.5995,0.48062499999999997
13-2053.00,2.657777777777778,0.125,3.195,0.6015625
13-2061.00,3.2122222222222225,0.4225,3.844,0.60125
13-2071.00,2.7355555555555555,0.03125,3.3115,0.5509375
13-2072.00,2.7133333333333334,0.235,3.3049999999999997,0.5384375
13-2081.00,2.6059259259259258,0.3125,3.405,0.6753125
13-2082.00,2.425925925925926,0.10875,3.1375,0.48812500000000003
13-2099.01,3.2833333333333337,0.35875,3.832,0.6328125
13-2099.04,2.9174074074074072,0.265,3.5490000000000004,0.6565625
15-1211.00,3.4255555555555555,2.2975,3.6734999999999998,0.9571875
15-1211.01,3.5503703703703704,1.31125,3.7815,0.910625
15-1212.00,2.9903703703703703,1.51625,3.5555,0.8628125
15-1221.00,3.8614814814814817,1.5462500000000001,3.938,0.894375
15-1231.00,2.7781481481481483,2.8875,3.287,1.133125
15-1232.00,2.7496296296296294,2.4387499999999998,3.2245,1.21875
15-1241.00,3.4303703703703707,2.59375,3.5935,1.0353125
15-1241.01,3.0281481481481483,2.4987500000000002,3.3815,1.37875
15-1242.00,3.274074074074074,1.2825,3.5484999999999998,0.78875
15-1243.00,3.235925925925926,1.155,3.5439999999999996,0.7728125
15-1243.01,3.0366666666666666,1.0625,3.3815,0.653125
15-1244.00,3.4225925925925926,3.38875,3.5305,1.3203125
15-1251.00,3.0833333333333335,0.98375,3.3240000000000003,0.7303125
15-1252.00,3.2392592592592595,1.56375,3.4135,0.7353125
15-1253.00,3.0037037037037035,1.70125,3.3674999999999997,0.855625
15-1254.00,3.0840740740740737,1.32625,3.4185000000000003,0.9409375
15-1255.01,3.175925925925926,0.5925,3.5380000000000003,0.95625
15-1299.01,3.07,1.54625,3.425,0.8246875
15-1299.03,2.8855555555555554,0.36,3.3049999999999997,0.8046875
15-1299.05,3.1844444444444444,1.95125,3.5130000000000003,0.91125
15-1299.08,3.4666666666666663,1.8425,3.5925,0.8440624999999999
15-1299.09,3.504074074074074,0.54625,3.556,0.644375
15-2011.00,3.5362962962962965,0.3275,3.9869999999999997,0.609375
15-2021.00,3.3374074074074076,0.11,4.238,0.504375
15-2031.00,3.314814814814815,0.375,3.8555,0.4840625
15-2041.00,3.166296296296296,0.265,3.969,0.574375
15-2041.01,3.611851851851852,0.3425,4.0815,0.613125
15-2051.01,3.0144444444444445,0.375,3.6935000000000002,0.48812500000000003
15-2051.02,3.2644444444444445,0.98375,3.5564999999999998,0.5790625
15-2099.01,3.0611111111111113,0.79875,3.6759999999999997,0.68
17-1011.00,3.6340740740740745,1.09375,4.0625,1.1403125
17-1012.00,3.3474074074074074,0.87375,3.6315,0.988125
17-1021.00,2.562962962962963,0.93875,3.437,1.1328125
17-1022.00,2.9770370370370367,1.87375,3.6605000000000003,2.129375
17-1022.01,3.1300000000000003,1.875,3.8240000000000003,1.7337500000000001
17-2011.00,3.6296296296296298,1.2974999999999999,3.9490000000000003,0.8
17-2021.00,3.407037037037037,1.81125,3.7875,1.430625
17-2031.00,3.804814814814815,2.7487500000000002,4.013,1.081875
17-2041.00,3.7822222222222224,1.90625,4.025,0.964375
17-2051.00,3.7314814814814814,1.06125,4.1185,0.9712500000000001
17-2051.01,3.634444444444444,0.98375,3.9805,0.8634375
17-2051.02,3.6981481481481477,1.4537499999999999,3.9505000000000003,0.7934375
17-2061.00,3.2629629629629626,2.2475,3.624,0.9609375
17-2071.00,3.324074074074074,1.905,3.7744999999999997,1.065
17-2072.00,3.44,2.90625,3.7744999999999997,1.3903125
17-2072.01,3.1622222222222223,2.5625,3.3805,1.1403125
17-2081.00,3.375185185185185,1.03125,3.9259999999999997,0.6484375
17-2111.02,3.448888888888889,1.5175,3.7805,0.9143749999999999
17-2112.00,3.1985185185185183,1.18875,3.6064999999999996,1.2225
17-2112.01,3.5755555555555554,1.15625,3.9435000000000002,0.8128125
17-2112.02,3.225925925925926,1.46625,3.6,0.9890625
17-2112.03,3.9392592592592592,3.42125,4.1375,1.840625
17-2121.00,3.523333333333333,2.7475,4.005,2.030625
17-2131.00,3.6011111111111114,1.8125,3.9065,1.2025000000000001
17-2141.00,3.6622222222222223,2.7175000000000002,3.95,1.0784375
17-2141.01,3.4248148148148148,2.60875,3.9125,1.2890625
17-2141.02,3.6481481481481484,1.62375,3.968,1.38125
17-2151.00,3.842222222222222,1.6575,4.0634999999999994,0.991875
17-2161.00,3.607037037037037,1.905,4.019,0.8665625
17-2171.00,3.4637037037037035,1.4837500000000001,3.7060000000000004,0.808125
17-2199.03,3.4496296296296296,1.125,3.755,0.7965625000000001
17-2199.05,3.408148148148148,2.1875,3.811,1.2225
17-2199.06,3.491481481481481,2.2975,3.9685,1.449375
17-2199.07,3.550740740740741,2.84375,4.149,1.3271875
17-2199.08,3.7729629629629633,3.76625,4.107,1.8515625
17-2199.09,3.76,2.39,4.2695,1.4025
17-2199.10,3.388888888888889,1.28125,3.595,0.999375
17-2199.11,3.2270370370370367,1.9837500000000001,3.8009999999999997,1.5659375
17-3012.00,2.781851851851852,1.1425,3.325,1.1321875
17-3013.00,2.8377777777777777,1.01625,3.3314999999999997,1.0821875
17-3021.00,2.9114814814814816,2.9699999999999998,3.4995,1.660625
17-3022.00,2.7914814814814815,0.93875,3.4814999999999996,1.2190625
17-3024.00,2.809259259259259,3.71875,3.3634999999999997,2.4206250000000002
17-3024.01,2.9755555555555557,3.7199999999999998,3.5615,2.520625
17-3025.00,3.195185185185185,2.29625,3.6315,2.0971875
17-3026.00,3.2637037037037038,1.78125,3.55,1.508125
17-3026.01,3.018148148148148,2.84375,3.832,1.9875
17-3027.00,3.014074074074074,2.7199999999999998,3.6305,2.2653125
17-3027.01,2.7596296296296297,2.95375,3.319,2.229375
17-3029.01,2.6614814814814816,2.51625,3.444,2.2571875
17-3029.08,2.735925925925926,3.1862500000000002,3.145,1.773125
19-1011.00,3.3511111111111114,1.09375,3.9455,1.261875
19-1012.00,3.245185185185185,1.49875,3.9115,1.4246875
19-1013.00,3.4911111111111115,1.1412499999999999,4.043,1.5659375
19-1021.00,3.8,1.78,4.449,1.2103125000000001
19-1022.00,3.5414814814814815,1.34375,4.193,1.5359375
19-1023.00,3.2255555555555557,0.9525,3.6945,1.914375
19-1029.01,3.5037037037037035,1.0,4.162,0.968125
19-1029.02,3.8514814814814815,1.4075,4.431,1.29
19-1029.03,3.3974074074074077,0.93625,4.068,1.05125
19-1029.04,3.485925925925926,0.73375,4.154999999999999,1.3746875
19-1031.00,3.06,1.03,3.5420000000000003,1.9403125
19-1031.02,3.2214814814814816,1.32625,3.4160000000000004,1.82
19-1031.03,2.8755555555555556,1.06125,3.2865,1.8515625
19-1032.00,3.407777777777778,1.65625,3.624,2.2346875
19-1041.00,3.7307407407407407,0.18625,4.206,0.64375
19-1042.00,3.6244444444444444,0.99875,4.2125,0.9965625
19-2011.00,3.549259259259259,0.70375,4.1745,0.8240625
19-2012.00,4.097407407407407,1.23375,4.8759999999999994,0.8746875000000001
19-2021.00,3.2833333333333337,0.34375,3.9075,0.668125
19-2031.00,3.2825925925925925,2.25,4.0075,1.49625
19-2032.00,3.341851851851852,1.3599999999999999,3.914,0.969375
19-2041.00,3.5174074074074073,1.2025000000000001,3.9170000000000003,1.1725
19-2041.01,3.1981481481481477,0.14,3.5435000000000003,0.52625
19-2041.02,3.3937037037037037,1.0787499999999999,3.8325000000000005,1.5578125
19-2041.03,3.4433333333333334,0.40625,3.9509999999999996,0.6328125
19-2042.00,3.2074074074074073,0.92125,3.9135,1.3840625
19-2043.00,3.3744444444444444,2.0025,3.9880000000000004,1.4681250000000001
19-2099.01,3.44,0.89,3.9,0.9840625
19-3011.00,3.175925925925926,0.10875,3.857,0.4609375
19-3011.01,3.3607407407407406,0.15625,3.9185000000000003,0.5353125
19-3022.00,3.3377777777777777,0.3275,3.8615000000000004,0.526875
19-3032.00,3.8055555555555554,0.46875,3.9939999999999998,0.5237499999999999
