onet_code,aise,rse,job_zone,complementarity
37-2019.00,0.0636743215031315,0.4047619047619047,,
37-2021.00,0.0083507306889352,0.0476190476190476,2.0,0.5530555555555555
37-3011.00,0.0187891440501043,0.1785714285714285,1.0,0.4891666666666666
37-3012.00,0.0104384133611691,0.1428571428571428,2.0,0.5572222222222222
37-3013.00,0.0093945720250521,0.1428571428571428,2.0,0.6219444444444445
37-3019.00,0.115866388308977,0.5,,
39-1013.00,0.3110647181628392,0.4404761904761904,2.0,0.5647222222222222
39-1014.00,0.2661795407098121,0.369047619047619,,
39-1022.00,0.407098121085595,0.6309523809523809,3.0,0.6302777777777778
39-2011.00,0.0219206680584551,0.0476190476190476,2.0,0.5958333333333333
39-2021.00,0.0198329853862212,0.1666666666666666,2.0,0.5541666666666667
39-3011.00,0.0511482254697286,0.1547619047619047,2.0,0.4372222222222223
39-3012.00,0.313152400835073,0.3452380952380952,2.0,0.4791666666666666
39-3019.00,0.5918580375782881,0.75,,
39-3021.00,0.022964509394572,0.0833333333333333,2.0,0.4583333333333333
39-3031.00,0.2066805845511482,0.3928571428571428,2.0,0.4213888888888889
39-3091.00,0.0605427974947807,0.238095238095238,1.0,0.4988888888888889
39-3092.00,0.0313152400835073,0.0714285714285714,2.0,0.5011111111111111
39-3093.00,0.0125260960334029,0.1071428571428571,2.0,0.4491666666666666
39-3099.00,0.3663883089770355,0.5357142857142857,,
39-4011.00,0.0020876826722338,0.0119047619047619,3.0,0.6972222222222222
39-4012.00,0.0020876826722338,0.0238095238095238,,
39-4021.00,0.0062630480167014,0.0714285714285714,2.0,0.5863888888888888
39-4031.00,0.0135699373695198,0.0357142857142857,3.0,0.6605555555555556
39-5011.00,0.0020876826722338,0.0357142857142857,3.0,0.5444444444444444
39-5012.00,0.0167014613778705,0.0595238095238095,3.0,0.5675
39-5091.00,0.0208768267223382,0.0238095238095238,3.0,0.5569444444444444
39-5092.00,0.0031315240083507,0.0357142857142857,2.0,0.4144444444444444
39-5093.00,0.0020876826722338,0.0357142857142857,2.0,0.47
39-5094.00,0.0073068893528183,0.0357142857142857,3.0,0.523611111111111
39-6011.00,0.0448851774530271,0.1666666666666666,2.0,0.5852777777777778
39-6012.00,0.360125260960334,0.5714285714285714,3.0,0.5838888888888889
39-7011.00,0.0323590814196242,0.2142857142857142,3.0,0.571388888888889
39-7012.00,0.0146137787056367,0.1309523809523809,2.0,0.6294444444444445
39-9011.00,0.0073068893528183,0.0476190476190476,2.0,0.5552777777777778
39-9011.01,0.0375782881002087,0.119047619047619,2.0,0.545
39-9031.00,0.1106471816283924,0.2261904761904762,3.0,0.5611111111111111
